year,e3genmod_power,e3genmod_utilization,postapril_power,postapril_utilization
2016,0,0,0,0
2017,0,0,0,0
2018,0,0,0,0
2019,0,0,0,0
2020,12,0.25,0,0
2021,12,0.25,0,0
2022,12,0.25,0,0
2023,12,0.25,0,0
2024,12,0.25,0,0
2025,21,0.25,0,0
2026,21,0.25,0,0
2027,21,0.25,0,0
2028,21,0.25,0,0
2029,21,0.25,0,0
2030,60,0.25,0,0
2031,60,0.25,0,0
2032,60,0.25,0,0
2033,60,0.25,0,0
2034,60,0.25,0,0
2035,69,0.25,0,0
2036,69,0.25,0,0
2037,69,0.25,0,0
2038,69,0.25,0,0
2039,69,0.25,0,0
2040,108,0.25,0,0
2041,108,0.25,0,0
2042,108,0.25,0,0
2043,108,0.25,0,0
2044,108,0.25,0,0
2045,143,0.25,0,0
